id;bank_code;bank_name;initial_name;bi_code;swift_code;create_system_date;create_date;create_user_id;last_modification_system_date;last_modification_date;last_modification_user_id
1;Unbranded ;back-end synthesizing override;Bacon Mouse open-source;pay;HDD;2019-10-23;2019-10-23T13:53:17;81659;2019-10-23;2019-10-23T19:44:26;71378
2;Central Mo;index Borders;customized;syn;Pre-emptive Bouvet I;2019-10-23;2019-10-23T15:12:53;73054;2019-10-23;2019-10-23T13:37:50;13927
3;optical;Borders reboot;mobile Cheese;pro;hack Electronics Okl;2019-10-23;2019-10-23T18:25:27;87676;2019-10-23;2019-10-23T22:04:11;10291
4;Bosnia and;syndicate haptic;Bedfordshire;app;Credit Card Account ;2019-10-23;2019-10-24T00:14:11;59902;2019-10-23;2019-10-23T10:26:12;18159
5;National I;value-added Savings Account;Connecticut Avon Money Market Account;bus;Security Virginia;2019-10-23;2019-10-23T11:19:04;92249;2019-10-24;2019-10-23T13:18:22;65136
6;quantify;Checking Account markets;Unbranded programming District;Con;Pizza yellow program;2019-10-23;2019-10-23T09:24:08;31144;2019-10-23;2019-10-24T00:49:20;59127
7;seize Hand;auxiliary Money Market Account Cotton;Switzerland Chief;Inl;Path Assimilated Uni;2019-10-24;2019-10-24T00:19:20;17638;2019-10-23;2019-10-23T18:19:08;16551
8;Automotive;Indiana deposit Electronics;Bedfordshire Strategist;Tow;Zimbabwe;2019-10-24;2019-10-23T18:13:37;29959;2019-10-23;2019-10-23T22:50:28;6707
9;index indi;sticky Expressway Checking Account;Street New Jersey;rec;Mountain Malaysia su;2019-10-23;2019-10-23T18:21:05;55964;2019-10-23;2019-10-24T02:33:14;10298
10;user-centr;Mobility;didactic Dynamic;sch;calculating;2019-10-23;2019-10-23T14:27:56;40798;2019-10-24;2019-10-23T17:02:18;22197
