id;city_code;city_name;create_system_date;create_date;create_user_id;last_modification_system_date;last_modification_date;last_modification_user_id
1;Data North;North Carolina Granite;2019-10-23;2019-10-23T17:11:05;82063;2019-10-23;2019-10-23T15:15:25;38610
2;Branding D;yellow;2019-10-23;2019-10-24T05:50:32;3896;2019-10-24;2019-10-23T15:26:29;68300
3;Handcrafte;wireless;2019-10-24;2019-10-23T23:30:54;49603;2019-10-24;2019-10-23T13:39:01;69673
4;Personal L;schemas Specialist China;2019-10-23;2019-10-23T12:15:54;56852;2019-10-23;2019-10-23T16:27:27;99050
5;infrastruc;JSON Texas;2019-10-24;2019-10-23T19:59:01;67984;2019-10-23;2019-10-23T12:31:19;75454
6;Fantastic;Liechtenstein Buckinghamshire monetize;2019-10-23;2019-10-23T08:47:14;9998;2019-10-23;2019-10-24T04:59:45;1083
7;Internal F;CFP Franc Borders Borders;2019-10-24;2019-10-23T19:31:01;9170;2019-10-23;2019-10-23T15:49:16;32866
8;Danish Kro;neural Wooden Optimization;2019-10-23;2019-10-24T04:53:53;99593;2019-10-23;2019-10-24T04:56:19;44153
9;EXE cross-;Syrian Pound;2019-10-23;2019-10-23T15:26:33;86686;2019-10-24;2019-10-23T10:09:22;8410
10;Algerian D;Steel Avon Visionary;2019-10-23;2019-10-23T21:17:49;86313;2019-10-23;2019-10-23T09:09:04;81279
