id;country_code;country_name;nationality;create_system_date;create_date;create_user_id;last_modification_system_date;last_modification_date;last_modification_user_id
1;DK;Principal Pennsylvania dynamic;Sleek navigate Oklahoma;2019-10-23;2019-10-24T00:18:37;90635;2019-10-23;2019-10-24T03:36:39;43445
2;KW;Tools;Arizona hack;2019-10-23;2019-10-24T03:27:32;82279;2019-10-23;2019-10-23T12:25:07;74604
3;NU;Versatile seize;asymmetric EXE;2019-10-24;2019-10-23T19:48:27;96322;2019-10-23;2019-10-24T05:59:16;97790
4;VU;Incredible Fresh Car Tuvalu;Senior Optional Yemeni Rial;2019-10-24;2019-10-23T17:43:31;16621;2019-10-23;2019-10-24T01:04:34;69574
5;FM;Orchestrator Naira;Legacy Unbranded Plastic Chips;2019-10-23;2019-10-24T04:53:27;89026;2019-10-23;2019-10-23T19:20:38;10675
6;MV;client-driven olive;facilitate Persevering;2019-10-23;2019-10-24T04:24:50;36034;2019-10-23;2019-10-24T00:02:27;98621
7;JO;Beauty dynamic schemas;Pound Sterling Keyboard;2019-10-23;2019-10-24T04:27:02;82253;2019-10-23;2019-10-23T07:29:04;41663
8;PN;Personal Loan Account markets;SCSI Aruba Chair;2019-10-23;2019-10-23T21:14:40;77760;2019-10-23;2019-10-23T18:45:03;98727
9;YT;engage;disintermediate Assistant generating;2019-10-23;2019-10-24T04:45:19;46869;2019-10-24;2019-10-23T20:19:26;13385
10;ES;Ergonomic Fresh Chicken;Zimbabwe parse Customer;2019-10-23;2019-10-23T11:49:26;72612;2019-10-23;2019-10-23T12:06:35;84964
