id;currency_code;currency_name;currency_symbol;create_system_date;create_date;create_user_id;last_modification_system_date;last_modification_date;last_modification_user_id
1;ZAR N;Rufiyaa;kr;2019-10-23;2019-10-24T04:20:20;76161;2019-10-23;2019-10-24T00:34:34;24215
2;SLL;Turkish Lira;₨;2019-10-23;2019-10-23T06:40:39;63352;2019-10-23;2019-10-23T17:25:15;81643
3;BIF;Pa'anga;$;2019-10-24;2019-10-23T22:34:51;50819;2019-10-24;2019-10-23T13:34:48;4077
4;VND;Cordoba Oro;kn;2019-10-23;2019-10-24T00:59:37;1658;2019-10-23;2019-10-23T17:59:21;80950
5;EEK;Rupiah;zł;2019-10-24;2019-10-24T02:05:41;94052;2019-10-23;2019-10-23T20:44:16;38673
6;MKD;CFA Franc BCEAO;$;2019-10-24;2019-10-23T14:03:47;34106;2019-10-23;2019-10-24T03:33:22;20907
7;XDR;Ouguiya;$;2019-10-24;2019-10-24T00:47:39;65998;2019-10-24;2019-10-23T10:39:59;98216
8;MVR;Denar;₮;2019-10-24;2019-10-24T00:28:30;99625;2019-10-24;2019-10-23T07:06:35;89721
9;MWK;European Monetary Unit (E.M.U.-6);₱;2019-10-23;2019-10-23T23:35:12;34920;2019-10-23;2019-10-23T12:51:24;84666
10;XBA;Bolivar Fuerte;₨;2019-10-23;2019-10-24T04:15:36;93563;2019-10-24;2019-10-23T11:25:53;89855
