id;custody_code;custodi_name;create_system_date;create_date;create_user_id;last_modification_system_date;last_modification_date;last_modification_user_id
1;Distribute;Avon Checking Account impactful;2019-10-23;2019-10-24T01:59:40;88746;2019-10-23;2019-10-23T16:55:06;23818
2;Licensed V;neural Markets Branding;2019-10-24;2019-10-24T01:21:36;40639;2019-10-23;2019-10-23T22:30:14;89633
3;Kids;microchip;2019-10-23;2019-10-24T05:38:34;12277;2019-10-24;2019-10-23T09:14:43;58304
4;infomediar;Money Market Account end-to-end navigating;2019-10-23;2019-10-23T16:06:46;3422;2019-10-23;2019-10-23T10:20:39;62414
5;users Guin;SQL lavender;2019-10-23;2019-10-23T11:57:12;77975;2019-10-24;2019-10-24T03:32:16;86846
6;Cambridges;Table Avon Bedfordshire;2019-10-23;2019-10-23T17:16:50;69884;2019-10-23;2019-10-23T20:37:06;25788
7;Metal;methodologies Granite Corporate;2019-10-23;2019-10-23T23:44:39;68318;2019-10-24;2019-10-23T10:32:16;91429
8;Soft Misso;Awesome Cotton Tuna;2019-10-23;2019-10-23T10:21:58;72020;2019-10-24;2019-10-24T03:43:18;1099
9;Concrete;system-worthy pixel Phased;2019-10-23;2019-10-23T14:19:08;49427;2019-10-24;2019-10-23T16:31:14;91441
10;niches dri;strategic;2019-10-23;2019-10-23T12:34:01;18437;2019-10-24;2019-10-24T04:06:41;60315
