id;param_code;param_name;param_type;int_value;float_value;string_value;date_value;show;edit;create_system_date;create_date;create_user_id;last_modification_system_date;last_modification_date;last_modification_user_id
1;mobile Fis;Home Loan Account Table Computer;T;33370;60111;alarm;2019-10-24;false;true;2019-10-23;2019-10-23T10:18:03;93855;2019-10-24;2019-10-24T06:15:38;18182
2;Soap metho;Home Namibia;S;36636;23277;Licensed Savings Account;2019-10-23;true;true;2019-10-23;2019-10-23T19:04:38;4645;2019-10-23;2019-10-23T15:41:54;68030
3;Centers;Factors;S;23089;68423;infomediaries;2019-10-24;true;false;2019-10-23;2019-10-24T05:27:14;17336;2019-10-23;2019-10-23T20:53:38;25877
4;invoice;convergence;M;18485;3131;synthesizing Views e-enable;2019-10-23;true;true;2019-10-23;2019-10-23T22:26:33;8849;2019-10-23;2019-10-24T01:34:33;52083
5;Tactics;scale interactive generating;S;27599;14092;back-end;2019-10-24;false;true;2019-10-23;2019-10-23T11:44:44;39488;2019-10-24;2019-10-23T23:14:09;552
6;overriding;monitor 1080p Checking Account;w;62329;44945;Ergonomic;2019-10-23;false;true;2019-10-23;2019-10-23T14:17:51;72960;2019-10-23;2019-10-23T14:58:41;27472
7;Mississipp;synthesize Idaho compress;S;43933;10789;Outdoors;2019-10-23;false;false;2019-10-23;2019-10-23T18:04:26;69551;2019-10-23;2019-10-24T02:56:08;24929
8;relationsh;Brand;n;92969;62435;modular Refined Squares;2019-10-24;false;false;2019-10-23;2019-10-23T09:04:51;53934;2019-10-23;2019-10-23T10:54:04;12208
9;granular D;synergies copying;a;48482;22210;Concrete 24/7 Directives;2019-10-23;false;true;2019-10-23;2019-10-23T13:24:25;40383;2019-10-23;2019-10-24T04:43:19;97178
10;Functional;Moroccan Dirham;c;60956;97661;paradigms Home;2019-10-23;true;true;2019-10-24;2019-10-23T13:56:33;14489;2019-10-23;2019-10-23T18:31:57;44778
