id;instrument_code;instrument_type;instrument_short_code;instrument_name;price;price_date;haircut;haricut_date;create_system_date;create_date;create_user_id;last_modification_system_date;last_modification_date;last_modification_user_id
1;Home Loan Account To;S;Latvia;Ports Manager Fish;1807;2019-10-24;49389;2019-10-23;2019-10-24;2019-10-23T12:21:50;36646;2019-10-23;2019-10-23T12:25:10;84922
2;withdrawal Nevada Sl;w;Strategist target;Investor users dot-com;64510;2019-10-23;66892;2019-10-23;2019-10-23;2019-10-24T01:35:37;23018;2019-10-23;2019-10-23T18:17:56;28077
3;Shoes deposit;R;Response Human;back up Factors;33075;2019-10-23;55276;2019-10-23;2019-10-23;2019-10-23T07:09:10;98033;2019-10-23;2019-10-24T04:28:16;29444
4;reinvent;e;Configuration UIC-Fr;Ergonomic Concrete Soap Zambian Kwacha;35864;2019-10-24;25416;2019-10-23;2019-10-23;2019-10-23T09:13:22;32255;2019-10-23;2019-10-23T09:54:42;69701
5;Sudanese Pound;F;open-source HDD;Sleek Beauty Auto Loan Account;19427;2019-10-23;7094;2019-10-23;2019-10-23;2019-10-23T11:10:50;5076;2019-10-23;2019-10-23T09:00:03;33799
6;incubate;i;Garden Dale Wallis a;generating;86040;2019-10-24;25025;2019-10-24;2019-10-24;2019-10-23T10:32:14;30326;2019-10-23;2019-10-23T17:23:23;12706
7;South Georgia and th;c;Intelligent Granite ;Frozen Analyst card;4106;2019-10-23;39882;2019-10-23;2019-10-23;2019-10-23T19:44:39;74404;2019-10-24;2019-10-24T00:15:32;2535
8;Brand;i;Enterprise-wide Beni;Tuna Response invoice;51669;2019-10-23;65711;2019-10-23;2019-10-23;2019-10-23T15:35:54;73003;2019-10-23;2019-10-24T05:08:03;24773
9;strategic hack;l;Ergonomic Steel Glov;Developer Shoes Music;76336;2019-10-23;80691;2019-10-23;2019-10-23;2019-10-24T02:07:21;46467;2019-10-23;2019-10-23T14:41:06;39850
10;Personal Loan Accoun;H;Personal Loan Accoun;Cambridgeshire Norfolk Island;68396;2019-10-24;61585;2019-10-24;2019-10-23;2019-10-23T14:51:42;94425;2019-10-24;2019-10-23T09:28:01;58577
