id;mi_code;mi_name;create_system_date;create_date;create_user_id;last_modification_system_date;last_modification_date;last_modification_user_id
1;Business-f;International card;2019-10-23;2019-10-23T16:41:10;94930;2019-10-23;2019-10-23T20:45:36;66367
2;Research s;Equatorial Guinea;2019-10-24;2019-10-23T15:59:52;84152;2019-10-24;2019-10-23T09:57:58;49636
3;Savings Ac;robust;2019-10-23;2019-10-23T12:48:12;41279;2019-10-23;2019-10-23T13:21:42;68840
4;vortals Ce;Licensed Clothing Engineer;2019-10-24;2019-10-23T16:06:51;10309;2019-10-23;2019-10-23T22:43:46;9158
5;Principal ;Cocos (Keeling) Islands Awesome;2019-10-23;2019-10-23T09:19:45;75839;2019-10-23;2019-10-23T14:56:42;80656
6;payment Ph;Central;2019-10-23;2019-10-24T00:58:14;69317;2019-10-23;2019-10-24T05:02:29;94405
7;Small Meta;Unions algorithm;2019-10-24;2019-10-23T13:32:30;73102;2019-10-23;2019-10-24T01:39:26;92439
8;Administra;online program Refined Granite Gloves;2019-10-23;2019-10-23T10:23:09;64454;2019-10-24;2019-10-23T14:40:33;59626
9;Organic Gr;SMS;2019-10-23;2019-10-23T22:07:22;44103;2019-10-23;2019-10-23T20:34:19;6535
10;projection;withdrawal alarm Timor-Leste;2019-10-23;2019-10-23T15:29:57;87666;2019-10-24;2019-10-23T20:15:34;2440
