id;province_code;province_name;create_system_date;create_date;create_user_id;last_modification_system_date;last_modification_date;last_modification_user_id
1;Ergonomic ;User-friendly;2019-10-23;2019-10-23T15:43:53;20722;2019-10-24;2019-10-23T09:12:09;67170
2;Checking A;Borders Springs connecting;2019-10-23;2019-10-23T09:49:39;81638;2019-10-23;2019-10-23T07:02:54;56093
3;PNG;Connecticut Burg;2019-10-23;2019-10-23T12:09:23;78466;2019-10-23;2019-10-23T14:56:06;70407
4;cyan Rubbe;Home Loan Account withdrawal;2019-10-23;2019-10-23T19:46:49;9100;2019-10-23;2019-10-23T12:50:46;34825
5;Berkshire ;middleware Switzerland;2019-10-23;2019-10-23T07:29:29;79647;2019-10-24;2019-10-23T19:15:19;92658
6;Buckingham;Investment Account frictionless orchid;2019-10-23;2019-10-24T00:30:58;34156;2019-10-24;2019-10-23T17:23:07;12887
7;Rubber Shi;Pakistan Rupee;2019-10-24;2019-10-24T01:54:52;69650;2019-10-23;2019-10-23T20:23:59;89678
8;Mission Ra;Automated;2019-10-23;2019-10-24T02:13:30;34508;2019-10-23;2019-10-23T21:56:12;17701
9;Awesome;Kiribati;2019-10-23;2019-10-24T01:19:39;89421;2019-10-23;2019-10-24T03:11:22;50341
10;Lempira;Licensed;2019-10-23;2019-10-23T15:12:36;68778;2019-10-24;2019-10-23T18:00:00;87357
