id;tax_code;short_desc;long_desc;create_system_date;create_date;create_user_id;last_modification_system_date;last_modification_date;last_modification_user_id
1;Regional;Home;primary quantify Chips;2019-10-24;2019-10-23T17:24:05;37047;2019-10-23;2019-10-23T18:39:04;23611
2;navigate K;bypass Games Customer-focused;Bond Markets Units European Composite Unit (EURCO) connecting generate;2019-10-24;2019-10-24T03:42:27;86721;2019-10-23;2019-10-23T21:46:48;53261
3;Configurab;Chair Kentucky;blue internet solution Concrete;2019-10-23;2019-10-23T22:02:58;59359;2019-10-23;2019-10-23T13:58:52;35510
4;withdrawal;Nevada quantify architectures;empower;2019-10-23;2019-10-23T21:33:56;89964;2019-10-23;2019-10-23T15:41:54;57077
5;dot-com;methodology Integration Music;Pants;2019-10-24;2019-10-23T18:34:20;16068;2019-10-23;2019-10-24T01:48:07;8788
6;digital;Internal;Sleek Steel Shirt;2019-10-23;2019-10-23T06:42:10;99725;2019-10-24;2019-10-23T08:45:40;39785
7;Agent TCP;Engineer Bedfordshire feed;Assurance Nebraska Mississippi;2019-10-23;2019-10-23T10:09:14;76949;2019-10-24;2019-10-24T01:47:26;96799
8;system;Buckinghamshire;Bouvet Island (Bouvetoya);2019-10-23;2019-10-23T15:37:29;76777;2019-10-23;2019-10-24T04:11:04;58123
9;Sausages H;Checking Account frictionless;Rubber Awesome Frozen Mouse;2019-10-23;2019-10-23T13:51:00;80987;2019-10-24;2019-10-24T00:10:06;13882
10;Shoes Rubb;users scalable;transmitting parse infrastructures;2019-10-23;2019-10-23T12:44:20;99092;2019-10-23;2019-10-24T01:21:34;18123
